Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
137080,KR7137080008,나래나노텍,KOSDAQ,중견기업부,6500,1,200,3.17,6300,6590,6300,9005,58228100,69614668500,10709949,KSQ
270520,KR7270520000,앱튼,KOSDAQ,투자주의환기종목(소속부없음),3005,1,235,8.48,2750,3090,2540,265741,719764069,69592536570,23158914,KSQ
043610,KR7043610005,KT지니뮤직,KOSDAQ,중견기업부,1197,1,17,1.44,1164,1200,1163,33787,39585179,69564179286,58115438,KSQ
168330,KR7168330009,내츄럴엔도텍,KOSDAQ,투자주의환기종목(소속부없음),2190,1,110,5.29,2080,2190,2055,12704,27207365,69543231000,31754900,KSQ
212710,KR7212710008,아이에스티이,KOSDAQ,기술성장기업부,7130,1,130,1.86,7250,7250,6850,43032,303015330,69267793140,9714978,KSQ
0156T0,KR70156T0003,에이치엘지노믹스,KOSDAQ,중견기업부,8900,1,100,1.14,8810,9180,8720,89794,802890005,69261232900,7782161,KSQ
331380,KR7331380006,포커스에이아이,KOSDAQ,투자주의환기종목(소속부없음),1892,1,9,0.48,1900,1949,1881,13309,25368802,69173158472,36560866,KSQ
320000,KR7320000003,한울반도체,KOSDAQ,중견기업부,10000,2,-80,-0.79,10330,10890,9900,226510,2305924050,69136700000,6913670,KSQ
096350,KR7096350004,대창솔루션,KOSDAQ,벤처기업부,1875,2,-4,-0.21,1875,1884,1831,161226,300296795,69102678750,36854762,KSQ
457600,KR7457600005,벡트,KOSDAQ,벤처기업부,5040,2,-230,-4.36,5250,5370,4365,393609,1888902400,69085800000,13707500,KSQ
111710,KR7111710000,남화산업,KOSDAQ,중견기업부,3355,1,45,1.36,3380,3465,3220,135615,454491162,69072740000,20588000,KSQ
110790,KR7110790003,크리스에프앤씨,KOSDAQ,우량기업부,2945,2,-20,-0.67,2965,2965,2885,3517,10242630,69004177200,23430960,KSQ
0155E0,KR70155E0001,해치텍,KOSDAQ,기술성장기업부,12560,1,220,1.78,12430,13580,12100,1491641,19127163150,68918604000,5487150,KSQ
417970,KR7417970001,모델솔루션,KOSDAQ,우량기업부,10700,1,420,4.09,10380,10840,10330,8415,89396925,68444690000,6396700,KSQ
039010,KR7039010004,현대에이치티,KOSDAQ,우량기업부,7930,1,390,5.17,7510,8060,7510,86753,685415290,68396250000,8625000,KSQ
033130,KR7033130006,디지틀조선,KOSDAQ,중견기업부,1840,1,2,0.11,1838,1881,1817,23023,42409320,68292091280,37115267,KSQ
083790,KR7083790006,CG인바이츠,KOSDAQ,벤처기업부,888,1,45,5.34,855,900,826,135742,116713144,68282033616,76894182,KSQ
179530,KR7179530001,애드바이오텍,KOSDAQ,기술성장기업부,2515,3,0,0.0,2500,2605,2400,119446,297260216,68199866145,27117243,KSQ
014950,KR7014950000,삼익제약,KOSDAQ,벤처기업부,6760,1,1090,19.22,5700,7370,5550,8794893,60048296980,68056894880,10067588,KSQ
049550,KR7049550007,잉크테크,KOSDAQ,우량기업부,3470,2,-5,-0.14,3475,3530,3305,8214,28248155,68033781190,19606277,KSQ
360070,KR7360070007,탑머티리얼,KOSDAQ,중견기업부,8290,1,10,0.12,8240,8530,8240,6310,52940080,67912036470,8192043,KSQ
038460,KR7038460002,바이오스마트,KOSDAQ,우량기업부,2685,1,40,1.51,2645,2690,2635,60580,161171731,67862145270,25274542,KSQ
061040,KR7061040002,알에프텍,KOSDAQ,중견기업부,7500,1,120,1.63,7390,7500,7240,6650,49107300,67861672500,9048223,KSQ
024740,KR7024740003,한일단조,KOSDAQ,우량기업부,2060,1,5,0.24,2035,2080,2005,76073,155983913,67767920940,32897049,KSQ
041460,KR7041460007,한국전자인증,KOSDAQ,중견기업부,3560,1,80,2.3,3500,3575,3500,25365,90057820,67640000000,19000000,KSQ
222110,KR7222110009,팬젠,KOSDAQ,기술성장기업부,4995,1,25,0.5,4980,5000,4950,738,3678645,67504972455,13514509,KSQ
072950,KR7072950009,빛샘전자,KOSDAQ,벤처기업부,8380,1,200,2.44,8260,8480,8200,111160,928974295,67480871800,8052610,KSQ
